Zmienna A;Zmienna B;Zmienna C;Zmienna D;Zmienna E;Zmienna F;Zmienna G;Case ID
176.8;81.4;60;1;88.09999847;98.73999786;0;1
178.1;72.6;49;1;79.40000153;95.26000214;0;1
152.1;60.5;34;1;79.40000153;95.26000214;0;1
165.1;72.6;53;1;81.13999939;95.26000214;0;1
176.8;82.5;58;1;79.40000153;97;0;1
148.2;60.5;41;1;79.40000153;95.26000214;0;1
128.7;64.9;46;1;75.91999817;90.04000092;0;1
157.3;64.9;32;1;81.13999939;93.51999664;0;1
179.4;74.8;57;1;86.36000061;103.9599991;0;1
148.2;60.5;30;1;79.40000153;97;0;1
175.5;78.1;61;1;98.54000092;112.6600037;0;1
158.6;60.5;35;1;81.13999939;95.26000214;0;1
175.5;78.1;61;1;93.31999969;109.1800003;0;1
158.6;60.5;41;1;79.40000153;95.26000214;0;1
115.7;63.8;53;1;72.44000244;88.30000305;0;2
162.5;70.4;43;1;79.40000153;97;0;2
183.3;88;59;1;98.54000092;114.4000015;0;2
158.6;68.2;28;1;81.13999939;95.26000214;0;2
167.7;79.2;69;1;82.87999725;98.73999786;0;2
126.1;64.9;45;1;74.18000031;91.77999878;0;2
143;62.7;50;1;75.91999817;93.51999664;0;2
105.3;63.8;27;1;70.69999695;84.81999969;0;2
97.5;60.5;28;0;68.95999908;84.81999969;1;2
180.7;79.2;52;1;86.36000061;103.9599991;0;2
180.7;77;67;1;88.09999847;103.9599991;0;2
182;84.7;64;1;93.31999969;112.6600037;0;2
152.1;62.7;31;1;81.13999939;95.26000214;0;2
183.3;78.1;53;1;79.40000153;95.26000214;0;2
169;74.8;60;1;100.2799988;114.4000015;0;2
162.5;70.4;35;1;79.40000153;97;0;2
143;62.7;46;1;79.40000153;91.77999878;0;3
118.3;63.8;43;1;74.18000031;86.55999756;0;3
97.5;62.7;34;0;68.95999908;84.81999969;1;3
187.2;84.7;55;1;98.54000092;116.1399994;0;3
165.1;77;59;1;100.2799988;112.6600037;0;3
180.7;79.2;47;1;89.83999634;107.4400024;0;3
140.4;60.5;59;1;81.13999939;95.26000214;0;3
187.2;84.7;67;1;95.05999756;109.1800003;0;3
183.3;88;63;1;103.7599945;117.8799973;0;3
185.9;80.3;57;1;84.62000275;102.2200012;0;3
152.1;62.7;31;1;81.13999939;93.51999664;0;3
117;64.9;42;1;72.44000244;88.30000305;0;3
165.1;72.6;53;1;79.40000153;95.26000214;0;3
183.3;78.1;52;1;79.40000153;95.26000214;0;3
185.9;86.9;60;1;81.13999939;97;0;3
105.3;63.8;27;1;70.69999695;86.55999756;0;3
176.8;81.4;60;1;84.62000275;98.73999786;0;4
188.5;80.3;60;1;86.36000061;98.73999786;0;4
169;70.4;29;1;77.66000366;95.26000214;0;4
140.4;60.5;51;1;77.66000366;91.77999878;0;4
166.4;72.6;68;1;81.13999939;98.73999786;0;4
128.7;64.9;42;1;75.91999817;90.04000092;0;4
170.3;75.9;46;1;79.40000153;95.26000214;0;4
145.6;61.6;40;1;79.40000153;95.26000214;0;4
117;64.9;53;1;70.69999695;90.04000092;0;4
179.4;74.8;58;1;86.36000061;102.2200012;0;4
178.1;77;64;1;82.87999725;97;0;4
179.4;83.6;57;1;102.0199966;117.8799973;0;4
109.2;59.4;49;1;74.18000031;83.08000183;0;4
158.6;68.2;28;1;81.13999939;97;0;4
187.2;84.7;65;1;95.05999756;112.6600037;0;4
124.8;66;45;1;74.18000031;90.04000092;0;5
174.2;72.6;74;1;84.62000275;98.73999786;0;5
